Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,X3PointShots,X3PointShotsAttempted,X3PointShotsPCT,FreeThrows,FreeThrowsAttempted,FreeThrowsPCT,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,OppFieldGoals,OppFieldGoalsAttempted,OppFieldGoalsPCT,Opp3PointShots,Opp3PointShotsAttempted,Opp3PointShotsPCT,OppFreeThrows,OppFreeThrowsAttempted,OppFreeThrowsPCT,OppOffRebounds,OppTotalRebounds,OppAssists,OppSteals,OppBlocks,OppTurnovers,OppTotalFouls
GSW,31,12/30/2015,Away,DAL,L,91,114,33,81,0.407,7,19,0.368,18,24,0.75,8,37,20,9,0,12,18,42,82,0.512,14,27,0.519,16,20,0.8,12,52,20,6,4,15,19
GSW,32,12/31/2015,Away,HOU,W,114,110,43,84,0.512,11,23,0.478,17,27,0.63,12,43,35,8,5,18,20,36,78,0.462,12,30,0.4,26,29,0.897,4,33,21,13,5,15,22
GSW,33,1/2/2016,Home,DEN,W,111,108,43,86,0.5,10,28,0.357,15,23,0.652,9,47,34,9,5,13,22,44,105,0.419,5,30,0.167,15,23,0.652,24,52,27,7,0,13,23
GSW,34,1/4/2016,Home,CHO,W,111,101,45,87,0.517,15,34,0.441,6,6,1,3,37,32,4,9,11,19,38,86,0.442,7,21,0.333,18,19,0.947,8,41,15,7,1,11,12
GSW,35,1/5/2016,Away,LAL,W,109,88,40,86,0.465,13,31,0.419,16,21,0.762,10,54,26,9,9,10,17,29,91,0.319,5,21,0.238,25,30,0.833,15,52,15,7,4,12,16
GSW,36,1/8/2016,Away,POR,W,128,108,46,87,0.529,18,32,0.563,18,21,0.857,5,48,36,6,5,15,20,38,96,0.396,12,33,0.364,20,28,0.714,12,45,21,12,4,9,17
GSW,37,1/9/2016,Away,SAC,W,128,116,49,87,0.563,19,37,0.514,11,15,0.733,9,48,35,5,8,18,25,43,92,0.467,8,23,0.348,22,29,0.759,7,34,27,8,3,10,22
GSW,38,1/11/2016,Home,MIA,W,111,103,41,86,0.477,7,23,0.304,22,30,0.733,9,49,25,5,1,9,18,41,91,0.451,7,19,0.368,14,16,0.875,9,47,31,2,4,10,19
GSW,39,1/13/2016,Away,DEN,L,110,112,42,88,0.477,10,26,0.385,16,20,0.8,7,39,25,9,11,13,25,37,87,0.425,5,22,0.227,33,37,0.892,13,49,22,7,3,13,18
GSW,40,1/14/2016,Home,LAL,W,116,98,43,86,0.5,13,33,0.394,17,20,0.85,12,47,26,12,4,19,17,40,90,0.444,4,23,0.174,14,24,0.583,16,47,17,13,3,21,19
GSW,41,1/16/2016,Away,DET,L,95,113,34,94,0.362,10,25,0.4,17,23,0.739,14,47,18,6,9,12,16,47,101,0.465,8,23,0.348,11,20,0.55,17,57,22,8,11,9,22
GSW,42,1/18/2016,Away,CLE,W,132,98,46,85,0.541,19,40,0.475,21,27,0.778,6,37,33,7,2,8,25,37,77,0.481,7,19,0.368,17,25,0.68,8,36,22,3,4,15,25
GSW,43,1/20/2016,Away,CHI,W,125,94,50,95,0.526,12,32,0.375,13,20,0.65,12,55,38,8,9,10,17,37,100,0.37,1,20,0.05,19,24,0.792,16,49,14,4,4,10,17
GSW,44,1/22/2016,Home,IND,W,122,110,43,90,0.478,14,33,0.424,22,25,0.88,14,50,31,9,4,17,24,44,95,0.463,3,17,0.176,19,27,0.704,15,44,22,11,4,13,20
GSW,45,1/25/2016,Home,SAS,W,120,90,44,85,0.518,11,26,0.423,21,25,0.84,10,45,31,15,3,21,25,31,74,0.419,5,14,0.357,23,31,0.742,9,38,21,11,4,25,21
GSW,46,1/27/2016,Home,DAL,W,127,107,47,81,0.58,14,29,0.483,19,21,0.905,7,40,33,5,4,9,18,44,87,0.506,11,31,0.355,8,12,0.667,8,34,20,4,0,10,21
GSW,47,1/30/2016,Away,PHI,W,108,105,47,95,0.495,13,30,0.433,1,2,0.5,12,57,37,5,7,23,18,42,92,0.457,10,29,0.345,11,21,0.524,8,40,23,18,4,10,8
GSW,48,1/31/2016,Away,NYK,W,116,95,42,73,0.575,16,29,0.552,16,23,0.696,3,44,31,8,5,18,21,33,90,0.367,6,18,0.333,23,26,0.885,12,41,19,6,4,11,20
GSW,49,2/3/2016,Away,WAS,W,134,121,49,93,0.527,20,41,0.488,16,29,0.552,11,49,35,10,5,18,24,46,91,0.505,8,23,0.348,21,30,0.7,4,38,26,16,4,13,22
GSW,50,2/6/2016,Home,OKC,W,116,108,48,97,0.495,7,26,0.269,13,20,0.65,13,46,24,7,4,10,23,36,85,0.424,7,22,0.318,29,37,0.784,12,50,22,10,5,15,18
GSW,51,2/9/2016,Home,HOU,W,123,110,44,94,0.468,12,34,0.353,23,26,0.885,14,49,28,5,6,12,26,37,87,0.425,13,33,0.394,23,35,0.657,13,43,24,8,4,12,22
GSW,52,2/10/2016,Away,PHO,W,112,104,37,89,0.416,14,40,0.35,24,29,0.828,8,50,24,12,7,13,22,41,93,0.441,6,21,0.286,16,22,0.727,10,50,21,7,6,18,23
GSW,53,2/19/2016,Away,POR,L,105,137,36,92,0.391,12,34,0.353,21,28,0.75,14,47,25,7,4,20,17,52,97,0.536,17,30,0.567,16,23,0.696,8,48,28,12,4,13,21
GSW,54,2/20/2016,Away,LAC,W,115,112,42,82,0.512,11,31,0.355,20,26,0.769,6,39,32,8,2,14,19,42,94,0.447,13,36,0.361,15,18,0.833,15,49,24,9,2,14,24
GSW,55,2/22/2016,Away,ATL,W,102,92,39,89,0.438,14,45,0.311,10,12,0.833,6,43,30,14,8,13,17,36,86,0.419,10,34,0.294,10,16,0.625,8,47,23,7,7,17,17
GSW,56,2/24/2016,Away,MIA,W,118,112,42,90,0.467,13,28,0.464,21,25,0.84,9,43,23,7,2,13,24,40,86,0.465,6,14,0.429,26,31,0.839,11,46,19,8,8,12,23
GSW,57,2/25/2016,Away,ORL,W,130,114,53,88,0.602,13,25,0.52,11,16,0.688,8,42,35,9,4,20,21,41,90,0.456,10,26,0.385,22,28,0.786,8,37,23,11,4,15,17
GSW,58,2/27/2016,Away,OKC,W,121,118,45,95,0.474,14,32,0.438,17,25,0.68,4,32,25,15,7,11,22,46,96,0.479,9,26,0.346,17,26,0.654,16,62,23,6,4,22,21
GSW,59,3/1/2016,Home,ATL,W,109,105,41,103,0.398,12,36,0.333,15,17,0.882,18,51,28,11,3,11,22,37,80,0.463,12,33,0.364,19,24,0.792,7,42,25,9,5,17,17
GSW,60,3/3/2016,Home,OKC,W,121,106,47,87,0.54,11,34,0.324,16,21,0.762,4,40,33,11,3,8,20,40,86,0.465,4,20,0.2,22,27,0.815,11,46,22,3,4,14,18
GSW,61,3/6/2016,Away,LAL,L,95,112,37,92,0.402,4,30,0.133,17,21,0.81,17,49,32,5,3,20,20,41,87,0.471,9,25,0.36,21,22,0.955,9,41,23,12,6,11,24
